"time","track_length"
5.876263,"1k"
4.540832,"1k"
2.682108,"1k"
3.547361,"1k"
6.420256,"1k"
9.134821,"5k"
25.56085,"5k"
24.40576,"5k"
20.3651,"5k"
5.453173,"5k"
40.24091,"10k"
55.11972,"10k"
38.04611,"10k"
28.26976,"10k"
42.20258,"10k"
237.2238,"50k"
224.5096,"50k"
67.6323,"50k"
138.0801,"50k"
229.3094,"50k"
