"x","y","true.ac","time1","grid.cell","id","tseg"
3,4,5,1,36,1,1
3.07171584060778,3.94584757696421,5,2,36,1,1
3.22938641914815,3.94802919205763,5,3,36,1,1
3.31605780810761,3.90785795858714,5,4,36,1,1
3.22448597340981,3.96486305200019,5,5,36,1,1
5.99713506268329,3.68909555734604,5,6,37,1,1
6.52177774018975,2.69171805312331,5,7,37,1,1
6.54939399901625,2.65332822192556,5,8,37,1,1
6.81554503298985,2.50525989305454,5,9,37,1,1
7.26126671570153,3.14138036841235,5,10,37,1,1
7.967809405866,1.93296085827897,5,11,44,1,1
7.99743468494312,1.99229445097573,5,12,44,1,1
8.25207417169931,2.65151470358126,5,13,37,1,1
8.0539462133164,2.57016836903871,5,14,37,1,1
7.46338877409279,1.83132504206343,5,15,44,1,1
6.71358782443062,2.4743544741753,5,16,37,1,1
7.03531237083944,2.26691384138265,5,17,37,1,1
7.42205601051643,2.56562594993228,5,18,37,1,1
7.43044088883672,2.56370178573594,5,19,37,1,1
8.07234231726318,1.13689646019716,5,20,44,1,1
8.30968109167897,1.77131675000022,5,21,44,1,1
8.11198809416061,1.84214495016886,5,22,44,1,1
5.52703256398743,2.7063557847511,5,23,37,1,1
6.10752185337489,2.79819871248752,5,24,37,1,1
6.13970997491716,2.73645523529515,5,25,37,1,1
6.17945165374669,2.66874612103826,5,26,37,1,1
7.44762916581313,1.82547046294996,5,27,44,1,1
6.13408262678809,2.56563699964835,5,28,37,1,1
7.39953830820423,3.1053718002127,5,29,37,1,1
7.62050635764053,1.56269229956273,5,30,44,1,1
7.74239492165751,2.57192434002958,5,31,37,1,1
8.02995500951072,2.21365467090414,5,32,37,1,1
8.01917934015361,2.20453759037698,5,33,37,1,1
8.21806490747627,1.54719640492171,5,34,44,1,1
8.13225812442936,1.63125161348963,5,35,44,1,1
8.35294275936586,2.25772549374381,5,36,37,1,1
8.64511277432432,2.87815936305944,5,37,37,1,1
8.39472318695837,1.9798678908922,5,38,44,1,1
7.56568351511799,2.45026870955454,5,39,37,1,1
7.54608305257895,2.31093675622754,5,40,37,1,1
8.41479659972165,1.61897150274671,5,41,44,1,1
7.7662486734023,2.18737187940027,5,42,44,1,1
7.93821427643965,1.93268630220961,5,43,44,1,1
9.00792621008138,2.76179824687162,5,44,37,1,1
8.54040944265584,2.13612219162451,5,45,44,1,1
7.72963572121963,1.94885041589856,5,46,44,1,1
8.63919456340598,1.49634470823599,5,47,44,1,1
9.47873206153096,2.81807676659063,5,48,38,1,1
9.77752984450872,3.49225144079626,5,49,38,1,1
8.87126873873312,-0.157147659617543,5,50,44,1,1
8.88606765619389,0.00483195628838157,5,51,44,1,1
6.99946758636546,0.74141417829542,5,52,44,1,1
7.01075475618428,0.759248783683759,5,53,44,1,1
7.68054010580178,0.874485010391303,5,54,44,1,1
8.03172975117534,1.00369608429793,5,55,44,1,1
8.07107691795413,1.12711237425998,5,56,44,1,1
8.84242662606491,1.98110326430799,5,57,44,1,1
8.80359324991388,1.92406547694286,5,58,44,1,1
9.02801613670912,1.83372219138568,5,59,44,1,1
8.0707907653207,2.37295763962447,5,60,37,1,1
8.86076448584381,2.14947590845737,5,61,44,1,1
8.53833810886843,2.04548837915639,5,62,44,1,1
12.2630574234933,-0.179027978148425,5,63,45,1,1
12.1771891307623,-0.0668251493155879,5,64,45,1,1
12.1716530570632,1.49534932133422,5,65,45,1,1
11.6464521234334,1.84000408210481,5,66,45,1,1
9.53314589731324,1.1828720471133,5,67,45,1,1
9.26265693635495,1.78601271920624,5,68,45,1,1
8.17159632887678,2.45740030167841,5,69,37,1,1
7.73108794669893,2.0334948622315,5,70,44,1,1
5.34524252834082,3.07867032758033,5,71,37,1,1
6.65739056073423,2.99291808624375,5,72,37,1,1
6.68791819512628,2.95270533877628,5,73,37,1,1
10.3666127040766,2.38758065301978,5,74,38,1,1
10.288111910094,0.858483344835758,5,75,45,1,1
7.46285164358569,3.63233054192621,5,76,37,1,1
7.57871285794827,3.5912524229224,5,77,37,1,1
7.57064859942514,3.53174360643744,5,78,37,1,1
7.54199774963968,3.2082594255409,5,79,37,1,1
9.33816521080167,3.3983339386041,5,80,38,1,1
9.19490712535595,3.11904214073909,5,81,38,1,1
8.06210300040955,2.27144911822331,5,82,37,1,1
8.60297524767041,0.413239404177704,5,83,44,1,1
8.55282412206356,0.484235374083511,5,84,44,1,1
8.16767450284986,0.991854655530306,5,85,44,1,1
8.66776108281598,1.98561769977851,5,86,44,1,1
7.98374923202763,1.64973641815624,5,87,44,1,1
8.30267808356615,3.01090859633628,5,88,37,1,1
8.42093410794275,1.34582198611671,5,89,44,1,1
6.54179638102562,0.276837588708267,5,90,44,1,1
6.65943005111859,0.226978701648756,5,91,44,1,1
6.33421763623474,0.805820669365706,5,92,44,1,1
6.56459995465235,1.45848206060587,5,93,44,1,1
7.58177996133212,1.61004739710421,5,94,44,1,1
7.66227255979232,2.40943631835571,5,95,37,1,1
10.2331101617328,-0.0925117608483736,5,96,45,1,1
10.3918773369525,0.172128946191649,5,97,45,1,1
9.31444469933243,0.665570448512606,5,98,45,1,1
9.27614063581559,0.701192530452342,5,99,45,1,1
8.69493318749046,-0.306890021934084,5,100,44,1,1
8.72629661942394,-0.242358373790165,5,101,44,1,1
9.31087955141982,0.791987092858341,5,102,45,1,1
9.39915521030784,1.38990386150627,5,103,45,1,1
9.25483069308039,1.06962755492492,5,104,45,1,1
8.5193382083593,0.820333840490575,5,105,44,1,1
8.26503502093659,1.66282177609416,5,106,44,1,1
8.21203203492453,1.69261503532565,5,107,44,1,1
8.05110029295231,1.06586567627794,5,108,44,1,1
7.93703752017441,1.46176863025976,5,109,44,1,1
8.15654880726016,2.54526437310485,5,110,37,1,1
8.16135874025236,1.87653308921173,5,111,44,1,1
7.93531062959858,2.42327866526499,5,112,37,1,1
8.40822217408999,2.11316384411057,5,113,44,1,1
8.46060561803741,1.2753620260031,5,114,44,1,1
8.19664124464428,1.88065830691021,5,115,44,1,1
5.68218659764324,3.17011768681046,5,116,37,1,1
8.45588494749746,2.47433017434616,5,117,37,1,1
5.33658057919234,2.32194586429842,5,118,37,1,1
5.36556378904601,2.29297143496844,5,119,37,1,1
5.98694654908671,2.1216682864046,5,120,44,1,1
6.32722274665807,2.29641693728426,5,121,37,1,1
6.42565972641262,2.28889668063795,5,122,37,1,1
