"x","y","dist","rel.angle","behav_fine","behav_coarse","dt","id","obs","time1","SL","TA","tseg"
0,0,NA,NA,NA,NA,3600,1,1,1,NA,NA,1
-8.23078660430331,0.147710147571559,8.23211190480756,3.12364852497666,"Encamped","Encamped",3600,1,2,2,4,8,1
-2.28078820981488,0.75207559273263,5.98061355428686,-3.02242164945719,"Encamped","Encamped",3600,1,3,3,3,1,1
-3.23875407465213,0.970281153381796,0.982503061008765,2.81640677705044,"Encamped","Encamped",3600,1,4,4,1,8,1
-12.1935961785246,1.42260523107827,8.9662586498802,0.173490218956066,"Transit","Encamped",3600,1,5,5,4,5,1
-16.0026809566785,9.91240807666789,9.30515336811519,-1.09858363611148,"Transit","Encamped",3600,1,6,6,4,3,1
-15.3494956777268,8.77651255614349,1.31030898729525,-3.04147227555496,"Encamped","Encamped",3600,1,7,7,2,1,1
-15.2408502392526,9.18900827863898,0.426563655716622,2.36219169481005,"Encamped","Encamped",3600,1,8,8,1,8,1
-14.683456847612,7.9412637827132,1.36658469190814,-2.46393240306476,"Encamped","Encamped",3600,1,9,9,2,1,1
-14.8978870686656,8.36011870192662,0.470552614539936,-3.08855922240435,"Encamped","Encamped",3600,1,10,10,1,1,1
-10.2189578963433,28.4351558754835,20.6130903971068,-0.702141093815019,"Transit","Encamped",3600,1,11,11,5,4,1
-10.3021229850426,27.963294177231,0.479134526261725,-3.08706573320341,"Encamped","Encamped",3600,1,12,12,1,1,1
-6.28446975002473,32.4668846045918,6.03521865836402,2.58761651462689,"Encamped","Encamped",3600,1,13,13,3,8,1
-9.28451466161453,29.854969465134,3.97773430074015,3.01557657103219,"Encamped","Encamped",3600,1,14,14,3,8,1
-7.90861552538808,30.3815958671204,1.47323922033654,2.79079416989341,"Encamped","Encamped",3600,1,15,15,2,8,1
-9.23479207610527,30.0658032894961,1.36325683411261,3.0098132486549,"Encamped","Encamped",3600,1,16,16,2,8,1
-15.1055801209562,28.4135229330642,6.09886732466081,0.0405753725509773,"Transit","Encamped",3600,1,17,17,3,5,1
-14.195781352335,29.1718081309154,1.18436913192838,-2.72112125387369,"Encamped","Encamped",3600,1,18,18,1,1,1
-14.9544510045345,28.6133638549241,0.942040153367114,3.08131177630115,"Encamped","Encamped",3600,1,19,19,1,8,1
-17.9937711996096,25.0904345893081,4.65279462890038,0.224425858195218,"Transit","Encamped",3600,1,20,20,3,5,1
-20.2490863000615,20.7019224464398,4.93411441197193,0.237119264761952,"Transit","Encamped",3600,1,21,21,3,5,1
-19.2105629691774,23.1802968647804,2.68716774062868,-3.06368302012171,"Encamped","Encamped",3600,1,22,22,3,1,1
-20.7856668044807,19.5636097438353,3.94479122676944,3.12766025027531,"Encamped","Encamped",3600,1,23,23,3,8,1
-21.8666992789674,5.06019025030859,14.5436518184432,0.336340214807234,"Transit","Encamped",3600,1,24,24,5,5,1
-22.0793680890791,7.51561006539963,2.46461244238035,-2.98079745459044,"Encamped","Encamped",3600,1,25,25,2,1,1
-26.3899830045691,19.1337440351101,12.3920312252586,0.268884559609515,"Transit","Encamped",3600,1,26,26,5,5,1
-26.0735144179698,16.9087710176978,2.24736674677649,2.92759880917635,"Encamped","Encamped",3600,1,27,27,2,8,1
-26.1457935421735,17.5281385639184,0.623570708987305,3.11647836109585,"Encamped","Encamped",3600,1,28,28,1,8,1
-26.1358826424772,17.2553817231562,0.272936842722531,3.06173989021768,"Encamped","Encamped",3600,1,29,29,1,8,1
-27.084056245497,14.7811928978142,2.64964969852827,-0.402283018704561,"Encamped","Encamped",3600,1,30,30,3,4,1
-26.7170040422213,16.3267777292761,1.58857161978131,-3.00879466478541,"Encamped","Encamped",3600,1,31,31,2,1,1
