"time","track_length"
0.0488269329071045,"1k"
0.0401768803596497,"1k"
0.0454288641611735,"1k"
0.0423804998397827,"1k"
0.0405330499013265,"1k"
0.0813348174095154,"5k"
0.0778321981430054,"5k"
0.0719051678975423,"5k"
0.0780351003011068,"5k"
0.0774916172027588,"5k"
0.0948711474736532,"10k"
0.105076165994008,"10k"
0.10040473540624,"10k"
0.103102469444275,"10k"
0.110519548257192,"10k"
0.351337949434916,"50k"
0.354682548840841,"50k"
0.345970618724823,"50k"
0.378357251485189,"50k"
0.365079247951508,"50k"
