,x,y,SL,TA,behav_fine,behav_coarse,HMM state,BCPA fine cluster,BCPA coarse cluster
3851,-120.5973702,-291.9094075,1.536782327,2.73648667,Exploratory,Exploratory,Exploratory,73,30
3852,-120.3953217,-291.1235306,0.81143462,2.912399401,Exploratory,Exploratory,Exploratory,73,30
3853,-122.3999171,-290.7401806,2.0409213,1.633491362,Exploratory,Exploratory,Exploratory,73,30
3854,-121.6833387,-290.2687188,0.857765042,-2.37070545,Exploratory,Exploratory,Exploratory,73,30
3855,-120.2190239,-289.6768602,1.579403181,-0.197821443,Exploratory,Exploratory,Exploratory,73,30
3856,-121.3679851,-290.2360573,1.277815825,-3.072754777,Exploratory,Exploratory,Exploratory,73,30
3857,-121.3161418,-290.4231166,0.194110589,1.388210083,Exploratory,Exploratory,Exploratory,73,30
3858,-125.6244668,-303.0341918,13.3266981,-0.59956232,Transit,Exploratory,Transit,73,30
3859,-124.5707842,-305.857523,3.013543706,0.68639557,Exploratory,Exploratory,Exploratory,73,30
3860,-124.7661961,-302.8055499,3.058222622,2.848336973,Exploratory,Exploratory,Exploratory,73,30
3861,-124.3540759,-303.2093322,0.576960347,-2.409916387,Exploratory,Exploratory,Exploratory,73,30
3862,-124.0128132,-300.7177625,2.514831907,2.209855648,Exploratory,Exploratory,Exploratory,73,30
3863,-123.7661179,-298.3483118,2.382258464,0.032378791,Exploratory,Exploratory,Exploratory,73,30
3864,-123.2945641,-288.6355619,9.724190128,0.055229288,Transit,Exploratory,Transit,73,30
3865,-123.5548691,-288.1953765,0.511392107,0.582549139,Exploratory,Exploratory,Exploratory,73,30
3866,-124.0830307,-289.4854474,1.394000597,2.218967604,Exploratory,Exploratory,Exploratory,73,30
3867,-127.8431349,-294.752784,6.471724511,-0.231375135,Transit,Exploratory,Transit,73,30
3868,-127.8431348,-294.752784,1.16E-07,2.303219592,Resting,Exploratory,Resting,73,30
3869,-127.3407644,-295.474785,0.879580294,-1.075353063,Exploratory,Exploratory,Resting,73,30
3870,-127.5916195,-295.0917004,0.457910551,3.113451888,Resting,Exploratory,Resting,73,30
3871,-127.9142501,-294.9405831,0.356268071,0.552991378,Exploratory,Exploratory,Resting,73,30
3872,-132.0317345,-290.1483747,6.318143621,-0.422940987,Exploratory,Exploratory,Transit,73,30
3873,-132.0096355,-290.1619089,0.025914049,-2.83012081,Resting,Exploratory,Resting,74,30
3874,-130.4249992,-285.9912878,4.46151908,1.757202422,Exploratory,Exploratory,Exploratory,74,30
3875,-130.478336,-285.4111075,0.582626791,0.454778825,Exploratory,Exploratory,Exploratory,74,30
3876,-130.0468372,-281.4350311,3.999421831,-0.199774353,Exploratory,Exploratory,Exploratory,74,30
3877,-130.2656868,-280.3116805,1.144470008,0.300509176,Exploratory,Exploratory,Exploratory,74,30
3878,-132.5723074,-279.4744769,2.453855853,1.030217198,Exploratory,Exploratory,Exploratory,74,30
3879,-132.9871343,-280.2738308,0.900581973,1.440272322,Exploratory,Exploratory,Exploratory,74,30
3880,-132.7960599,-279.5674976,0.731721246,-2.92709077,Exploratory,Exploratory,Exploratory,74,30
3881,-131.4977641,-280.8252257,1.807609426,-2.07613168,Exploratory,Exploratory,Exploratory,74,30
3882,-130.918823,-282.5430857,1.812792289,-0.476209637,Exploratory,Exploratory,Exploratory,74,30
3883,-135.4201146,-282.2851385,4.508676425,-1.953097449,Exploratory,Exploratory,Exploratory,74,30
3884,-135.0775093,-279.0533648,3.249882995,-1.619170851,Exploratory,Exploratory,Exploratory,74,30
3885,-135.3932941,-279.3531743,0.435437447,2.435866292,Exploratory,Exploratory,Exploratory,74,30
3886,-141.4413101,-280.6370008,6.182775049,-0.550285338,Exploratory,Exploratory,Exploratory,74,30
3887,-140.852285,-280.8054385,0.612635124,2.653898085,Exploratory,Exploratory,Exploratory,74,30
3888,-141.0136905,-280.746698,0.17176197,3.071088203,Exploratory,Exploratory,Exploratory,74,30
3889,-143.2975129,-278.5604595,3.161563481,-0.4145396,Exploratory,Exploratory,Exploratory,74,30
3890,-142.3267929,-278.7148267,0.982917397,-2.535724493,Exploratory,Exploratory,Exploratory,74,30
3891,-142.4074489,-280.1613715,1.448791604,-1.468793465,Exploratory,Exploratory,Exploratory,74,30
3892,-142.2384625,-279.3298362,0.848532393,2.996800821,Exploratory,Exploratory,Exploratory,74,30
3893,-142.9446308,-277.8148445,1.671488398,0.636670215,Exploratory,Exploratory,Exploratory,74,30
3894,-146.3389827,-275.2891347,4.230937887,0.494908782,Exploratory,Exploratory,Exploratory,74,30
3895,-146.2723192,-274.7799624,0.513517663,-1.061271792,Exploratory,Exploratory,Exploratory,74,30
3896,-144.9372303,-274.5806123,1.349890024,-1.292390706,Exploratory,Exploratory,Exploratory,74,30
3897,-144.2559248,-275.2894473,0.983170551,-0.953419988,Exploratory,Exploratory,Exploratory,74,30
3898,-140.3128895,-274.0159228,4.143596518,1.117603536,Exploratory,Exploratory,Exploratory,74,30
3899,-133.1911624,-272.1652437,7.358261325,-0.05816402,Transit,Exploratory,Transit,74,30
3900,-132.88789,-272.5632974,0.500420656,-1.173970611,Exploratory,Exploratory,Exploratory,74,30
3901,-131.1622549,-271.6182269,1.967479325,1.420779101,Exploratory,Exploratory,Exploratory,74,30
3902,-139.7062847,-255.090361,18.60566574,1.546860429,Transit,Resting,Transit,74,30
3903,-139.7407089,-255.101979,0.03633186,1.419175151,Resting,Resting,Resting,74,30
3904,-139.7407072,-255.1019782,1.87E-06,-3.047973516,Resting,Resting,Resting,74,30
3905,-139.8442039,-255.0940418,0.10380052,2.6459488,Resting,Resting,Resting,74,30
3906,-139.8442038,-255.0940418,8.37E-08,-3.020645184,Resting,Resting,Resting,74,30
3907,-139.9632252,-255.2004784,0.159671017,-2.456369908,Resting,Resting,Resting,74,30
3908,-139.9624681,-255.2000368,0.000876433,2.940045172,Resting,Resting,Resting,74,30
3909,-139.9624742,-255.2000406,7.18E-06,-3.120634906,Resting,Resting,Resting,74,30
3910,-139.9602366,-255.199102,0.002426482,2.989679361,Resting,Resting,Resting,74,30
3911,-141.516002,-255.1081278,1.558423015,2.686049224,Exploratory,Resting,Resting,74,30
3912,-141.2970604,-256.4325171,1.342364531,1.793038795,Resting,Resting,Resting,74,30
3913,-141.3571547,-256.2495817,0.192553065,-2.988031671,Resting,Resting,Resting,74,30
3914,-141.2098123,-256.6039467,0.383776368,-3.064940753,Resting,Resting,Resting,74,30
3915,-141.6370768,-255.6909516,1.008025304,-3.097932903,Resting,Resting,Resting,74,30
3916,-141.5885615,-255.9026369,0.217173688,2.929181783,Resting,Resting,Resting,74,30
3917,-141.5888034,-255.8978125,0.004830478,2.966393516,Resting,Resting,Resting,74,30
3918,-141.4259392,-257.6089222,1.718843013,-3.096794102,Exploratory,Resting,Resting,74,30
3919,-141.4730995,-257.5350528,0.087640117,-2.668289815,Resting,Resting,Resting,74,30
3920,-149.6205138,-248.1448146,12.43209284,0.146452989,Transit,Resting,Transit,74,30
3921,-149.6199929,-248.1451468,0.000617783,-2.853022599,Resting,Resting,Resting,74,30
3922,-149.8003171,-248.1374898,0.180486713,-2.616453559,Resting,Resting,Resting,74,30
3923,-149.74333,-248.1301565,0.057457029,-2.971175301,Resting,Resting,Resting,74,30
3924,-149.7450379,-248.1310071,0.001907966,-2.807483348,Resting,Resting,Resting,74,30
3925,-149.202435,-247.8368446,0.617210974,-3.106899982,Resting,Resting,Resting,74,30
3926,-149.1979036,-248.3249352,0.48811164,-2.05829511,Resting,Resting,Resting,74,30
3927,-149.1973583,-248.3079807,0.016963258,3.100157701,Resting,Resting,Resting,74,30
3928,-149.1973588,-248.307983,2.28E-06,2.947805321,Resting,Resting,Resting,74,30
3929,-149.3279232,-247.614385,0.705779841,-2.729589257,Resting,Resting,Resting,74,30
3930,-149.3129562,-247.7551927,0.141600891,3.061424444,Resting,Resting,Resting,74,30
3931,-149.2966117,-247.6628584,0.093769733,2.860496309,Resting,Resting,Resting,74,30
3932,-149.3494453,-247.8806606,0.224118739,3.07881286,Resting,Resting,Resting,74,30
3933,-154.3284252,-249.1466801,5.137416281,-1.08382074,Exploratory,Resting,Exploratory,74,30
3934,-154.8957714,-249.947941,0.981784488,0.705680784,Resting,Resting,Exploratory,74,30
3935,-154.8917394,-249.9410574,0.007977603,-3.055342458,Resting,Resting,Resting,74,30
3936,-154.9126391,-249.9744973,0.039433834,3.112866703,Resting,Resting,Resting,74,30
3937,-154.8994635,-249.9597084,0.019806769,2.972413107,Resting,Resting,Resting,74,30
3938,-154.899542,-249.9597692,9.93E-05,2.956784055,Resting,Resting,Resting,74,30
3939,-154.8871511,-249.950672,0.015371906,3.116681347,Resting,Resting,Resting,74,30
3940,-154.8871483,-249.9506761,5.05E-06,-1.609282532,Resting,Resting,Resting,74,30
3941,-154.8976464,-249.9524306,0.010643773,-2.00002445,Resting,Resting,Resting,74,30
3942,-145.7952745,-248.6538493,9.194535799,3.117713102,Transit,Resting,Resting,74,30
3943,-145.7952787,-248.6538538,6.15E-06,-2.455292411,Resting,Resting,Resting,74,30
3944,-144.5524366,-247.8535176,1.478240308,2.885699553,Resting,Resting,Resting,74,30
3945,-144.5524439,-247.8535247,1.01E-05,-2.945424815,Resting,Resting,Resting,74,30
3946,-144.4345913,-247.7244481,0.174785582,-3.079054449,Resting,Resting,Resting,74,30
3947,-144.4348714,-247.7248526,0.00049208,-3.007324066,Resting,Resting,Resting,74,30
3948,-144.5302869,-247.5458387,0.202854892,-2.046183381,Resting,Resting,Resting,74,30
