"id","bin","behav","prop","param"
"3_1",4,"2",0.0333529157157388,"Turning Angle"
"3_1",5,"2",0.0348198743526581,"Turning Angle"
"3_1",6,"2",0.000905693133189075,"Turning Angle"
"3_1",7,"2",0.00773201568027708,"Turning Angle"
"3_1",8,"2",0.404457746724369,"Turning Angle"
"3_1",1,"3",0.00608267068668819,"Turning Angle"
"3_1",2,"3",0.0215055457943176,"Turning Angle"
"3_1",3,"3",0.0148851264414491,"Turning Angle"
"3_1",4,"3",0.414490988654745,"Turning Angle"
"3_1",5,"3",0.504125406262491,"Turning Angle"
"3_1",6,"3",0.0234112521143246,"Turning Angle"
"3_1",7,"3",0.00375547903500086,"Turning Angle"
"3_1",8,"3",0.0117435310109843,"Turning Angle"
"4_1",1,"1",0.0654314616410864,"Step Length"
"4_1",2,"1",0.248427232026614,"Step Length"
"4_1",3,"1",0.56217101480106,"Step Length"
"4_1",4,"1",0.0839646963106152,"Step Length"
"4_1",5,"1",0.0400055952206245,"Step Length"
"4_1",1,"2",0.00633520875729321,"Step Length"
"4_1",2,"2",0.00477954127451904,"Step Length"
"4_1",3,"2",0.00502994194332683,"Step Length"
"4_1",4,"2",0.517629577341472,"Step Length"
"4_1",5,"2",0.466225730683389,"Step Length"
"4_1",1,"3",0.587861355305121,"Step Length"
"4_1",2,"3",0.40175089241944,"Step Length"
"4_1",3,"3",0.00551912500561352,"Step Length"
"4_1",4,"3",0.00287497068725752,"Step Length"
"4_1",5,"3",0.00199365658256797,"Step Length"
"4_1",1,"1",0.11307911865445,"Turning Angle"
"4_1",2,"1",0.110564294841926,"Turning Angle"
"4_1",3,"1",0.112540345830877,"Turning Angle"
"4_1",4,"1",0.163450382278515,"Turning Angle"
"4_1",5,"1",0.105446969587645,"Turning Angle"
"4_1",6,"1",0.0951574469792066,"Turning Angle"
"4_1",7,"1",0.151247887991207,"Turning Angle"
"4_1",8,"1",0.148513553836175,"Turning Angle"
"4_1",1,"2",0.0082966493421762,"Turning Angle"
"4_1",2,"2",0.0070011944288751,"Turning Angle"
"4_1",3,"2",0.0124976988713858,"Turning Angle"
"4_1",4,"2",0.400960310624155,"Turning Angle"
"4_1",5,"2",0.544693827431682,"Turning Angle"
"4_1",6,"2",0.0122881277060614,"Turning Angle"
"4_1",7,"2",0.00551516380542404,"Turning Angle"
"4_1",8,"2",0.00874702779024037,"Turning Angle"
"4_1",1,"3",0.490118753473756,"Turning Angle"
"4_1",2,"3",0.0548864466820793,"Turning Angle"
"4_1",3,"3",0.00384391192566505,"Turning Angle"
"4_1",4,"3",0.00171326625920846,"Turning Angle"
"4_1",5,"3",0.00145747428312566,"Turning Angle"
"4_1",6,"3",0.000852097753557056,"Turning Angle"
"4_1",7,"3",0.0226627772007809,"Turning Angle"
"4_1",8,"3",0.424465272421827,"Turning Angle"
"5_1",1,"1",0.0717177656438254,"Step Length"
"5_1",2,"1",0.252206388792729,"Step Length"
"5_1",3,"1",0.534353522046336,"Step Length"
"5_1",4,"1",0.103683622522268,"Step Length"
"5_1",5,"1",0.0380387009948416,"Step Length"
"5_1",1,"2",0.036677793106191,"Step Length"
"5_1",2,"2",0.00260245368864287,"Step Length"
"5_1",3,"2",0.004298666889223,"Step Length"
"5_1",4,"2",0.524954792571348,"Step Length"
"5_1",5,"2",0.431466293744595,"Step Length"
"5_1",1,"3",0.928051672228033,"Step Length"
"5_1",2,"3",0.00613461397179156,"Step Length"
"5_1",3,"3",0.0234527396944909,"Step Length"
"5_1",4,"3",0.0102550341591618,"Step Length"
"5_1",5,"3",0.0321059399465227,"Step Length"
"5_1",1,"1",0.167188366939374,"Turning Angle"
"5_1",2,"1",0.0997989609024624,"Turning Angle"
