"time","track_length"
3.5481,"1k"
2.399504,"1k"
3.275714,"1k"
1.969018,"1k"
2.266913,"1k"
13.52312,"5k"
12.75301,"5k"
11.23006,"5k"
11.16477,"5k"
9.5031,"5k"
21.66567,"10k"
23.84451,"10k"
22.91833,"10k"
24.04308,"10k"
25.09068,"10k"
114.9718,"50k"
110.483,"50k"
107.2107,"50k"
113.5809,"50k"
138.025,"50k"
