"time","track_length"
11.16009,"1k"
8.38962,"1k"
8.393702,"1k"
10.6761,"1k"
11.09111,"1k"
32.81853,"5k"
40.30417,"5k"
39.57564,"5k"
40.30497,"5k"
31.27581,"5k"
80.53258,"10k"
78.67313,"10k"
78.68767,"10k"
79.13457,"10k"
79.98438,"10k"
405.2838,"50k"
409.4369,"50k"
406.3287,"50k"
406.7301,"50k"
421.2173,"50k"
